profile,course,rows,next_gate_visible_pct,lookahead_visible_pct,next_gate_abs_bearing_h_p95_deg,lookahead_abs_bearing_h_p95_deg
gatenet_fisheye,arc_rand_006,546.0,99.26739926739927,99.81684981684981,12.524356063489057,19.834906681691244
gatenet_fisheye,arc_rand_007,546.0,98.71794871794873,99.81684981684981,8.981600452801516,17.414721589557008
gatenet_fisheye,circular_arc,456.0,98.90350877192982,99.78070175438597,10.897342136600937,18.551235163110256
gatenet_fisheye,easy,366.0,99.72677595628416,99.72677595628416,36.73607711939519,26.331926486828937
gatenet_fisheye,four_gate_straight,456.0,99.3421052631579,99.78070175438597,23.14879840226918,28.990983088800398
gatenet_fisheye,hard_s_curve_rand_000,726.0,99.86225895316805,99.86225895316805,34.86771904525308,56.0100790013872
gatenet_fisheye,hard_s_curve_rand_001,636.0,98.42767295597484,99.84276729559748,42.26261315205393,54.98191385486929
gatenet_fisheye,hard_s_curve_rand_002,726.0,99.17355371900827,99.86225895316805,27.878393113735587,51.05300135117325
gatenet_fisheye,hard_s_curve_rand_003,726.0,100.0,99.86225895316805,27.990248799290004,61.921426989276654
gatenet_fisheye,hard_s_curve_rand_004,726.0,100.0,99.86225895316805,32.33356968922409,60.69477282131021
gatenet_fisheye,hard_s_curve_rand_005,636.0,100.0,99.84276729559748,32.99712643570997,55.35709021621145
gatenet_fisheye,hard_s_curve_rand_006,636.0,100.0,99.84276729559748,27.931563597123727,57.195017662989876
gatenet_fisheye,hard_s_curve_rand_007,726.0,100.0,99.86225895316805,28.750549469483726,50.211082912578206
gatenet_fisheye,lateral_soft,366.0,98.90710382513662,99.72677595628416,45.72405172766753,21.533401373896186
gatenet_fisheye,low_high,366.0,99.72677595628416,99.72677595628416,11.268976886467666,13.799474280457591
gatenet_fisheye,s_curve,546.0,100.0,99.81684981684981,17.995816528090852,25.69649684657062
gatenet_fisheye,s_curve_rand_000,636.0,99.21383647798741,99.84276729559748,24.877741520911073,35.50565204525708
gatenet_fisheye,s_curve_rand_001,636.0,99.68553459119497,99.84276729559748,24.72638039538239,32.03087583761985
gatenet_fisheye,s_curve_rand_002,636.0,100.0,99.84276729559748,22.948563976815837,23.891699600581862
gatenet_fisheye,s_curve_rand_003,636.0,100.0,99.84276729559748,35.89279783652164,33.83922925986839
gatenet_fisheye,s_curve_rand_004,636.0,98.89937106918238,99.84276729559748,22.679173545490205,33.15546597515924
gatenet_fisheye,s_curve_rand_005,546.0,100.0,99.81684981684981,11.531721007369784,16.815819144575457
gatenet_fisheye,s_curve_rand_006,546.0,100.0,99.81684981684981,22.803104316576995,31.5832536235974
gatenet_fisheye,s_curve_rand_007,546.0,100.0,99.81684981684981,20.002758768930224,26.051468364984665
gatenet_fisheye,s_curve_rand_008,546.0,99.45054945054946,99.81684981684981,16.027649206036962,32.576941287258215
gatenet_fisheye,s_curve_rand_009,546.0,100.0,99.81684981684981,26.28151676687135,43.0857883705581
gatenet_fisheye,s_curve_rand_010,636.0,99.52830188679245,99.84276729559748,16.33435351377049,25.328411891417385
gatenet_fisheye,s_curve_rand_011,546.0,100.0,99.81684981684981,19.058853773286828,24.387424762654184
